seller-product-id,sku,title,price,product-id,brand,category,product_link,img_link
710679,7509811889031,Router Wifi Băng Tần Kép AC1200 TP-Link Archer C50 - Hàng Chính Hãng,449000,708026,TP-Link,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Mạng/Thiết Bị Phát Sóng Wifi/Router Wifi,/router-wifi-bang-tan-kep-ac1200-tp-link-archer-c50-hang-chinh-hang-p708026.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/a/r/archer-c50-v3_s_01.u4064.d20170704.t180940.358348.jpg
120184,7504604440345,TP - Link TL- WN725N - USB Wifi Nano Chuẩn N Tốc Độ 150Mbps - Hàng Chính Hãng,114000,416978,TP-Link,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Mạng/Thiết Bị Phát Sóng Wifi/USB Wifi,/tp-link-tl-wn725n-usb-wifi-nano-chuan-n-toc-do-150mbps-hang-chinh-hang-p416978.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/84/05/f9/5c70ad3e68bd82950099411542de4b49.jpg
167451,7504804245610,USB Wifi Chuẩn N Tốc Độ 150Mbps Tenda W311MA - Hàng Chính Hãng,125000,459152,Tenda,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Mạng/Thiết Bị Phát Sóng Wifi/USB Wifi,/usb-wifi-chuan-n-to-c-do-150mbps-tenda-w311ma-hang-chinh-hang-p459152.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/h/s/hsks.jpg
50275,6203550291988,Ổ Cứng Di Động WD Elements 1TB 2.5 USB 3.0 - WDBUZG0010BBK - Hàng Chính Hãng,1567300,356387,WD,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Lưu Trữ/Ổ Cứng Di Động/Ổ Cứng HDD Di Động,/o-cung-di-dong-wd-elements-1tb-2-5-usb-3-0-wdbuzg0010bbk-hang-chinh-hang-p356387.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/w/d/wd elements 1tb - 2.5 usb 3.0_1.u579.d20160808.t172730.328870.jpg
167503,8502748339364,Máy In Laser Đen Trắng Đơn Năng Brother HL-L2321D Duplex - Hàng Chính Hãng,2450000,459201,Brother,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Văn Phòng - Thiết Bị Ngoại Vi/Máy In - Photocopy/Máy In Laser,/may-in-laser-den-trang-don-nang-brother-hl-l2321d-duplex-hang-chinh-hang-p459201.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/b0/83/60/4ab0c01305795398c12cce62496bd927.jpg
3831593,5782854631979,Ổ Cứng HDD Box ORICO USB3.0/2.5 - 2577U3 - Hàng Chính Hãng,114400,3831591,Orico ,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Lưu Trữ/Case Ổ Cứng- Hộp Đựng HDD Box - Dock Ổ Cứng,/o-cung-hdd-box-orico-usb3-0-2-5-2577u3-hang-chinh-hang-p3831591.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/5f/82/9b/4d0c5695e7fcfe9a715f29c4c02c5304.jpg
51990002,7758613153523,Đế Tản Nhiệt Laptop 2 Fan Có Led - Quạt Tản Nhiệt Laptop Thay Đổi Độ Dốc (Màu Đen),114800,32933095,OEM,Thiết Bị Số - Phụ Kiện Số/Phụ kiện máy tính và Laptop/Phụ Kiện Laptop/Đế Tản Nhiệt Laptop,/de-tan-nhiet-laptop-2-fan-co-led-quat-tan-nhiet-laptop-thay-doi-do-doc-mau-den-p32933095.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/63/72/74/0d947871ad50a4b374953a56332889c8.jpg
66440241,9849214246948,Khay Ổ Cứng Caddy Bay 9.5mm Siêu Mỏng (Gắn Ổ Cứng Thay Ổ Quang Laptop),45893,7857797,OEM,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Lưu Trữ/Case Ổ Cứng- Hộp Đựng HDD Box - Dock Ổ Cứng,/khay-o-cung-caddy-bay-9-5mm-sieu-mong-gan-o-cung-thay-o-quang-laptop-p7857797.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/a4/45/a0/01b5c999f1826627635fdc3354bfab9c.jpg
56960456,7502395819869,Thiết Bị Phát Wifi Di Động 4G LTE-Advanced TP-Link M7350 V5 150Mbps - Hàng Chính Hãng,1350000,465219,TP-Link,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Mạng/Bộ Phát Wifi Di Động 3G/4G - Mifi,/thiet-bi-phat-wifi-di-dong-4g-lte-advanced-tp-link-m7350-v5-150mbps-hang-chinh-hang-p465219.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/28/68/ad/2099249633fc81f51a39c3aff64417b0.jpg
3608389,2669313084251,USB SanDisk CZ600 16GB - USB 3.0 - Hàng Chính Hãng,85400,3608387,SanDisk,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Lưu Trữ/USB,/usb-sandisk-cz600-16gb-usb-3-0-hang-chinh-hang-p3608387.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/1c/dd/a5/fbbc5a804518251180930f1b0e673d74.jpg
7986171,1011171798534,Màn Hình Dell U2419H 24inch FullHD 8ms 60Hz IPS - Hàng Chính Hãng,5090000,7986170,Dell,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Văn Phòng - Thiết Bị Ngoại Vi/Màn Hình Máy Tính/Màn Hình Đồ Họa,/man-hinh-dell-u2419h-24inch-fullhd-8ms-60hz-ips-hang-chinh-hang-p7986170.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/cf/3b/cc/c220e39d6100924a66679bfb346b7544.jpg
53080937,1084495096501,Phần mềm Microsoft 365 Personal English APAC EM Subscr 1YR Medialess P6 (QQ2-00983) - Hàng Chính Hãng,690000,53080935,Microsoft,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Văn Phòng - Thiết Bị Ngoại Vi/Phần Mềm Máy Tính,/phan-mem-microsoft-365-personal-english-apac-em-subscr-1yr-medialess-p6-qq2-00983-hang-chinh-hang-p53080935.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/9a/c3/18/8bea9b5e1c3808128e64c841d0e4cb78.png
55638131,5980206896063,Màn Hình Máy Tính Cong Full Viền 24inch 75Hz Mới HUGON Q24 sử dụng cáp HDMI - CHUYÊN DÙNG GAMER - Văn Phòng - Học Tập - Hàng Nhập Khẩu,1750000,45620327,HUGON,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Văn Phòng - Thiết Bị Ngoại Vi/Màn Hình Máy Tính/Màn Hình Phổ Thông,/man-hinh-may-tinh-cong-full-vien-24inch-75hz-moi-hugon-q24-su-dung-cap-hdmi-chuyen-dung-gamer-van-phong-hoc-tap-hang-nhap-khau-p45620327.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/f8/eb/10/df606a7d1ad8588a59691681d6a8428c.png
54672,5006348510336,Chuột Không Dây Logitech M185 - Hàng Chính Hãng,189000,54665,Logitech,Thiết Bị Số - Phụ Kiện Số/Phụ kiện máy tính và Laptop/Phụ Kiện Phím Chuột Văn Phòng/Chuột Văn Phòng/Chuột Văn Phòng Không Dây,/chuot-khong-day-logitech-m185-hang-chinh-hang-p54665.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/l/o/logitech-m185-black-.u579.d20161227.t161134.455043.jpg
7027171,7500319219917,TotoLink N200RE-V3 - Bộ Phát Wifi Chuẩn N Tốc Độ 300Mbps - Hàng Chính Hãng,177000,566867,TOTOLINK,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Mạng/Thiết Bị Phát Sóng Wifi/Router Wifi,/totolink-n200re-v3-bo-phat-wifi-chuan-n-toc-do-300mbps-hang-chinh-hang-p566867.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/n/2/n200re-v3-1.u425.d20170309.t163238.300226.jpg
